Full Design,NFE,Penalized Target Ratio Objective,Penalized Stiffness Objective,Feasibility Score,Stability Score
001101110111000101101110011000000000,6924,11.904988187359974,11.491560980219035,1.3877787807814457E-16,1.0
010011101100011010000101101010101011,4868,11.898768680041975,11.38815629095645,1.3877787807814457E-16,1.0
001110110111110001011111110111101000,7654,11.938174775174193,11.569286890901896,1.3877787807814457E-16,1.0
111111101100101111110101010010001111,3476,11.896106384896754,11.424817385102651,1.3877787807814457E-16,1.0
111011110001100011110000001011110110,5500,11.89664672099845,11.451276587551032,1.3877787807814457E-16,1.0
100010111010100110110101010110111111,1924,11.911972735103763,11.395417959096925,1.3877787807814457E-16,1.0
010010111101100110001001001101011001,1892,11.899393199546552,11.456195370866102,1.3877787807814457E-16,1.0
110111111010000000100110111001110101,3934,11.930767666960344,11.284432202804252,1.3877787807814457E-16,1.0
011010111010010001000101011010101011,374,11.906925835547256,11.338766907179552,1.3877787807814457E-16,1.0
111111110010000001101110011110100100,4252,11.90559333076073,11.382826871251195,1.3877787807814457E-16,1.0
011011110110110111110111111101001000,9056,11.907812089045155,11.50027995424655,1.3877787807814457E-16,1.0
110000010111000110010101001110111110,3292,11.91978272589283,11.341105554392374,1.3877787807814457E-16,1.0
010010001011100110010001110111101001,5230,11.908587180276395,11.41127354409444,1.3877787807814457E-16,1.0
100111011011100010110011110100111101,8924,11.904404382780337,11.439556941936427,1.3877787807814457E-16,1.0
110110101110110010010000111100010101,9682,11.907724935109407,11.407380878246943,1.3877787807814457E-16,1.0
111101010111000011111011100111111110,6300,11.902947510711659,11.482741227502288,1.3877787807814457E-16,1.0
111100111001000101000101010111001101,2852,11.911712343584817,11.37094916202591,1.3877787807814457E-16,1.0
000111110001100010110000001011100000,4992,11.92527282838591,11.584248251048093,1.3877787807814457E-16,1.0
001101110110110111110111111101001000,9220,11.932897442112964,11.56582091077237,1.3877787807814457E-16,1.0
101100100111100001111110011110010100,8272,11.910841931148136,11.50518310905099,1.3877787807814457E-16,1.0
110010010100001100111010001111110110,2474,11.923285941322671,11.33730498126938,1.3877787807814457E-16,1.0
110100101111000110011011011100101111,7396,11.92164992667801,11.301102003724424,1.3877787807814457E-16,1.0
111000110010100111001111000001011100,9936,11.901878530098594,11.453755817661007,1.3877787807814457E-16,1.0
111100101111000001110111000111111111,6450,11.90905748321141,11.374646822674425,1.3877787807814457E-16,1.0
111101111001100111110010010111010101,7230,11.900798142019728,11.443023980507201,1.3877787807814457E-16,1.0
011010110010100111001110000000110000,9164,11.901475861195138,11.416031462528512,1.3877787807814457E-16,1.0
010010110100000110101100010011110000,2738,11.91630770129337,11.41257310587284,1.3877787807814457E-16,1.0
011101011010110001100111011000011001,1464,11.898986286302316,11.436067866732667,1.3877787807814457E-16,1.0
011100100011000001011101111101101000,7288,11.915964336037085,11.509651206977436,1.3877787807814457E-16,1.0
010010111010000110000110000111100001,2128,11.932210452631306,11.274794116202678,1.3877787807814457E-16,1.0
111100001001000011100100001101100111,2924,11.938044656621864,11.215423972415316,1.3877787807814457E-16,1.0
110001011111100100111110001111010101,3790,11.905240926128299,11.402170767002893,1.3877787807814457E-16,1.0
001100111110000111000100111101010001,1496,11.908664958807904,11.442290909659402,1.3877787807814457E-16,1.0
111111101111000101110101011010101101,3638,11.904674889885811,11.387978094167277,1.3877787807814457E-16,1.0
100100100010010110100110110010010100,1340,11.908757730075816,11.403437627367767,1.3877787807814457E-16,1.0
011101110110110001111001001011001000,8916,12.04445216210764,11.679492022402588,1.3877787807814457E-16,1.0
010010111101000110000110011110000001,1504,11.937768332811718,11.247636140328664,1.3877787807814457E-16,1.0
000000101010000110010010101001000001,3262,11.91636404374617,11.360881063303133,1.3877787807814457E-16,1.0
100111101011000010110000000100110111,0,11.910627070578151,11.406682390132046,1.3877787807814457E-16,1.0
010010001111101110110101110011111011,3570,11.911554558124765,11.403006542153442,1.3877787807814457E-16,1.0
110101010011000110010010101011100110,6264,11.922565369269503,11.320019271142183,1.3877787807814457E-16,1.0
011100010100110101001111001101101000,8982,11.897223593865254,11.447030927413657,1.3877787807814457E-16,1.0
000100111010100110101100001111110011,2274,11.904168185206348,11.439232578882207,1.3877787807814457E-16,1.0
011001101011100111011010010001110011,5558,11.898029970844455,11.410708177887217,1.3877787807814457E-16,1.0
011100101011100111111011110100111001,8092,11.898238655661306,11.475743268331069,1.3877787807814457E-16,1.0
011110000111000011110111111001101000,5320,11.911846591617476,11.396026972432194,1.3877787807814457E-16,1.0
100000100110000100111110011111110100,8320,11.910949644028014,11.393832187204458,1.3877787807814457E-16,1.0
010011010110110010110111101001011000,9352,11.907725173415209,11.501831719143123,1.3877787807814457E-16,1.0
001000111011000001110000011110100001,4126,11.901427377536551,11.500178888023276,1.3877787807814457E-16,1.0
000110001010101010100101010110101001,3134,11.895724784528113,11.462769995743736,1.3877787807814457E-16,1.0
001001101101010111111110011001010001,8788,11.904837986347838,11.480756936761793,1.3877787807814457E-16,1.0
110111111010000010000100111100010101,1824,11.9247480369397,11.321105544028866,1.3877787807814457E-16,1.0
010010111010100010010100101110100011,2280,11.917337269405516,11.35613875876223,1.3877787807814457E-16,1.0
001110101111000011010101001000111001,2454,11.900827990603835,11.478981336795783,1.3877787807814457E-16,1.0
110010111000001100111011000111111111,2666,11.91282570668527,11.37016408685469,1.3877787807814457E-16,1.0
000100111111000100111000101101000001,0,11.904240443730698,11.536357645047703,1.3877787807814457E-16,1.0
010100010110000010000100011100110010,2826,11.938440812031848,11.269175719571258,1.3877787807814457E-16,1.0
111101101101001011011001111010101111,8238,11.899695350496847,11.44221811630451,1.3877787807814457E-16,1.0
101010001011011101010001011010101111,120,11.901724832170322,11.370434526020052,1.3877787807814457E-16,1.0
010000001011010000000100011000100011,1080,11.938929534426455,11.11186149582802,1.3877787807814457E-16,1.0
101111101010000001110111111011101101,3684,11.899540950538047,11.404146287208613,1.3877787807814457E-16,1.0
001101111010010111011101001110011001,4560,11.973812495362562,11.60167218776906,1.3877787807814457E-16,1.0
001101111110110111011000011001110001,9040,11.933114537834976,11.558917775582293,1.3877787807814457E-16,1.0
010111011110100100000111000100011011,2476,11.918564383737937,11.326133688607735,1.3877787807814457E-16,1.0
010100101110010110001111010100011011,1198,11.90949787720845,11.35125720293616,1.3877787807814457E-16,1.0
110100001100000000001111010101001111,602,11.93342575893105,11.181747996707593,1.3877787807814457E-16,1.0
101010110011111011100111111101101100,5120,11.898110574939858,11.480201446611856,1.3877787807814457E-16,1.0
110110111000010010001101101000001111,1180,11.913327607113507,11.325668399557758,1.3877787807814457E-16,1.0
111101111011000111010111011011101101,3540,11.906685354341159,11.374969859073927,1.3877787807814457E-16,1.0
010101100010010100100110101011100000,6514,11.901603840281684,11.40406712396115,1.3877787807814457E-16,1.0
000000110000010110111110110100000000,8694,11.901088287184585,11.505594322141322,1.3877787807814457E-16,1.0
110111100111110110110010001110100100,4350,11.898009356070196,11.438542403544387,1.3877787807814457E-16,1.0
110010111110001010110100011010100111,1118,11.925228682097726,11.31432288402907,1.3877787807814457E-16,1.0
110100110110110000101101010111011100,7226,11.922819071670922,11.538102098301783,1.3877787807814457E-16,1.0
011011001010001101001111011001011001,1200,11.901832811468994,11.358038401662501,1.3877787807814457E-16,1.0
010010111011010010011100101111010001,0,11.901828444572061,11.48420972852259,1.3877787807814457E-16,1.0
100010111010100110110101010111001101,2096,11.898798548437163,11.455068988686632,1.3877787807814457E-16,1.0
001101111101110101101110001110100011,8226,11.89806653513354,11.455312440868934,1.3877787807814457E-16,1.0
111101100110110111011011001111011110,8190,11.922812376821371,11.500769850239498,1.3877787807814457E-16,1.0
001100111101100001010011111001101001,5480,11.895407414320902,11.478466829018963,1.3877787807814457E-16,1.0
100100110110100000101101011101111100,6860,11.899781039808005,11.501142527001305,1.3877787807814457E-16,1.0
100000100110000110001000001111010100,8414,11.903861528841693,11.494300066016041,1.3877787807814457E-16,1.0
010101110101101110010110100010000000,6936,11.907832225699055,11.518481084377145,1.3877787807814457E-16,1.0
001101111110110001111100001000100011,8990,11.93183998054217,11.536985950674975,1.3877787807814457E-16,1.0
010010001000100110111111111110111001,5468,11.916903893962433,11.353102588236428,1.3877787807814457E-16,1.0
001001101101010111101110011001010001,8674,11.89710094839511,11.454059152055649,1.3877787807814457E-16,1.0
100110111001110110000101011100011101,1800,11.910466575106211,11.403174327050912,1.3877787807814457E-16,1.0
110000010110001110100000001100110110,2804,11.931557259800043,11.315464564901374,1.3877787807814457E-16,1.0
101111010011111011011101011001101100,5248,11.936943341048408,11.55267604650798,1.3877787807814457E-16,1.0
100101001101000110001000001100110111,7660,11.92487711149995,11.304789857890386,1.3877787807814457E-16,1.0
001101100110111011101001110000101000,8114,12.049924889336129,11.69177665105227,1.3877787807814457E-16,1.0
111101101010111111100011111010011101,6652,11.904213466959817,11.459622875514182,1.3877787807814457E-16,1.0
